time,receiverId,transmitterId,receiverPower,receiverDeviceModel,transmitterDeviceModel
125,28,27,-80.1574087702357,model013,model013
125,1,12,-83.57281122505438,model013,model013
125,6,9,-82.99683376631891,model013,model013
125,12,1,-83.57281122505438,model013,model013
125,17,24,-85.50780613212473,model013,model013
125,23,25,-85.39493495162063,model013,model013
125,24,17,-85.50780613212473,model013,model013
125,24,39,-85.78811312296486,model013,model013
125,27,30,-79.61972518721566,model013,model013
125,30,27,-79.61972518721566,model013,model013
125,37,47,-81.00788487975694,model013,model013
125,39,24,-85.78811312296486,model013,model013
125,39,44,-84.2417793344547,model013,model013
125,40,17,-83.74475900002311,model013,model013
125,41,50,-86.36972589311546,model013,model013
125,44,39,-84.2417793344547,model013,model013
125,47,37,-81.00788487975694,model013,model013
125,50,41,-86.36972589311546,model013,model013
130,1,18,-67.05244327273803,model013,model013
130,9,6,-83.68014411283052,model013,model013
130,17,40,-81.60051432059954,model013,model013
130,18,1,-67.05244327273803,model013,model013
130,25,3,-85.91678469818487,model013,model013
130,28,9,-87.56808694348206,model013,model013
130,3,25,-85.91678469818487,model013,model013
130,6,9,-83.68014411283052,model013,model013
130,9,28,-87.56808694348206,model013,model013
130,17,24,-86.60309300644649,model013,model013
130,17,44,-81.43215587628771,model013,model013
130,24,17,-86.60309300644649,model013,model013
130,24,39,-83.5284903753358,model013,model013
130,24,44,-83.23672890145019,model013,model013
130,27,30,-85.11210675663516,model013,model013
130,30,27,-85.11210675663516,model013,model013
130,39,24,-83.5284903753358,model013,model013
130,39,44,-86.2397934176611,model013,model013
130,40,17,-81.60051432059954,model013,model013
130,41,50,-86.29003020103833,model013,model013
130,44,17,-81.43215587628771,model013,model013
130,44,24,-83.23672890145019,model013,model013
130,44,39,-86.2397934176611,model013,model013
130,50,41,-86.29003020103833,model013,model013
135,1,11,-87.4818030420203,model013,model013
135,1,18,-76.3193524698027,model013,model013
135,9,6,-84.40480048663234,model013,model013
135,11,1,-87.4818030420203,model013,model013
135,12,22,-87.1498100277419,model013,model013
135,12,34,-86.05140901674683,model013,model013
135,16,20,-85.01714828152163,model013,model013
135,18,1,-76.3193524698027,model013,model013
135,18,24,-87.01166822447621,model013,model013
135,20,16,-85.01714828152163,model013,model013
135,21,30,-84.72228437227639,model013,model013
135,24,18,-87.01166822447621,model013,model013
135,25,3,-80.5577201506866,model013,model013
135,28,9,-80.34925075822551,model013,model013
135,3,25,-80.5577201506866,model013,model013
135,6,9,-84.40480048663234,model013,model013
135,9,28,-80.34925075822551,model013,model013
135,17,24,-87.59067450511077,model013,model013
135,17,44,-84.67773241212073,model013,model013
135,22,12,-87.1498100277419,model013,model013
135,24,17,-87.59067450511077,model013,model013
135,24,39,-83.18309834436933,model013,model013
135,24,44,-84.58704155413844,model013,model013
135,30,21,-84.72228437227639,model013,model013
135,33,54,-78.36257514952096,model013,model013
135,34,12,-86.05140901674683,model013,model013
135,39,24,-83.18309834436933,model013,model013
135,41,50,-86.2132471232261,model013,model013
135,44,17,-84.67773241212073,model013,model013
135,44,24,-84.58704155413844,model013,model013
135,50,41,-86.2132471232261,model013,model013
135,54,33,-78.36257514952096,model013,model013
140,1,18,-82.03511597298062,model013,model013
140,7,48,-83.80908464929482,model013,model013
140,9,6,-85.13886650995936,model013,model013
140,9,12,-83.96559132447254,model013,model013
140,11,24,-85.88296486244683,model013,model013
140,12,34,-82.22447285942394,model013,model013
140,15,56,-87.05579569265355,model013,model013
140,16,20,-82.49115520473099,model013,model013
140,18,1,-82.03511597298062,model013,model013
140,18,24,-84.14569029233556,model013,model013
140,20,16,-82.49115520473099,model013,model013
140,21,30,-73.06570375816025,model013,model013
140,24,11,-85.88296486244683,model013,model013
140,24,18,-84.14569029233556,model013,model013
140,28,9,-87.6110917150208,model013,model013
140,29,11,-72.8014329413137,model013,model013
140,3,36,-81.23252417537606,model013,model013
140,5,55,-86.76470726048296,model013,model013
140,6,9,-85.13886650995936,model013,model013
140,9,28,-87.6110917150208,model013,model013
140,11,29,-72.8014329413137,model013,model013
140,12,9,-83.96559132447254,model013,model013
140,18,56,-86.69635725403018,model013,model013
140,24,39,-85.15168554923827,model013,model013
140,30,21,-73.06570375816025,model013,model013
140,34,12,-82.22447285942394,model013,model013
140,36,3,-81.23252417537606,model013,model013
140,39,24,-85.15168554923827,model013,model013
140,41,50,-86.13955988801644,model013,model013
140,48,7,-83.80908464929482,model013,model013
140,50,41,-86.13955988801644,model013,model013
140,55,5,-86.76470726048296,model013,model013
140,56,15,-87.05579569265355,model013,model013
140,56,18,-86.69635725403018,model013,model013
145,1,18,-85.512735969792,model013,model013
145,5,53,-86.72852754372872,model013,model013
145,7,48,-70.72295681250802,model013,model013
145,9,6,-85.86225914679363,model013,model013
145,9,12,-81.99375475659855,model013,model013
145,11,24,-79.54696934124622,model013,model013
145,15,18,-82.89904235612418,model013,model013
145,18,1,-85.512735969792,model013,model013
145,24,11,-79.54696934124622,model013,model013
145,28,29,-85.45582512346513,model013,model013
145,29,11,-85.64068614897461,model013,model013
145,3,36,-87.1336744799182,model013,model013
145,6,9,-85.86225914679363,model013,model013
145,6,12,-82.79175203103418,model013,model013
145,9,22,-80.7283598665921,model013,model013
145,11,29,-85.64068614897461,model013,model013
145,12,9,-81.99375475659855,model013,model013
145,12,6,-82.79175203103418,model013,model013
145,18,15,-82.89904235612418,model013,model013
145,18,56,-86.07101725732804,model013,model013
145,22,9,-80.7283598665921,model013,model013
145,24,39,-87.6596240162899,model013,model013
145,24,46,-84.4757401287685,model013,model013
145,29,28,-85.45582512346513,model013,model013
145,36,3,-87.1336744799182,model013,model013
145,39,24,-87.6596240162899,model013,model013
145,41,50,-86.06915184136446,model013,model013
145,46,24,-84.4757401287685,model013,model013
145,48,7,-70.72295681250802,model013,model013
145,50,41,-86.06915184136446,model013,model013
145,53,5,-86.72852754372872,model013,model013
145,56,18,-86.07101725732804,model013,model013
150,5,53,-77.05137957776823,model013,model013
150,7,48,-85.67089192890522,model013,model013
150,9,6,-86.56343997952877,model013,model013
150,15,18,-87.59454365033768,model013,model013
150,1,11,-83.79712964743592,model013,model013
150,2,16,-86.23034430895282,model013,model013
150,6,9,-86.56343997952877,model013,model013
150,6,12,-76.02298116405181,model013,model013
150,9,22,-82.725958064544,model013,model013
